source,raw_input_label,cleaned_input_label,match_score_1,matched_asctb_id_1,matched_asctb_label_1,matched_asctb_text_1,match_score_2,matched_asctb_id_2,matched_asctb_label_2,matched_asctb_text_2
PopV,non-classical monocyte,nonclassical monocyte,1.0,CL:0000875,non-classical monocyte,"A type of monocyte characterized by low expression of CCR2, low responsiveness to monocyte chemoattractant CCL2/MCP1, low phagocytic activity, and decrease size relative to classical monocytes, but increased co-stimulatory activity. May also play a role in tissue repair.",0.5831888318061829,CL:0000860,classical monocyte,"classical monocyte classical monocyte A monocyte that responds rapidly to microbial stimuli by secreting cytokines and antimicrobial factors and which is characterized by high expression of CCR2 in both rodents and humans, negative for the lineage markers CD3, CD19, and CD20, and of larger size than non-classical monocytes."
PopV,classical monocyte,classical monocyte,1.0,CL:0000860,classical monocyte,"A monocyte that responds rapidly to microbial stimuli by secreting cytokines and antimicrobial factors and which is characterized by high expression of CCR2 in both rodents and humans, negative for the lineage markers CD3, CD19, and CD20, and of larger size than non-classical monocytes.",0.5637682676315308,CL:0000860,classical monocyte,"classical monocyte classical monocyte A monocyte that responds rapidly to microbial stimuli by secreting cytokines and antimicrobial factors and which is characterized by high expression of CCR2 in both rodents and humans, negative for the lineage markers CD3, CD19, and CD20, and of larger size than non-classical monocytes."
PopV,"CD8-positive, alpha-beta T cell",cd8positive alphabeta t cell,0.8393380045890808,CL:0000900,CD8+ T cell naive,"CD8+ T cell naive CD8+ T cell naive A CD8-positive, alpha-beta T cell that has not experienced activation via antigen contact and has the phenotype CD45RA-positive, CCR7-positive and CD127-positive. This cell type is also described as being CD25-negative, CD62L-high and CD44-low.",0.8332189917564392,CL:0000913,CD8+ T cell effector memory,"CD8+ T cell effector memory CD8+ T cell effector memory CD8-positive, alpha-beta memory T cell with the phenotype CCR7-negative, CD127-positive, CD45RA-negative, CD45RO-positive, and CD25-negative."
PopV,mature NK T cell,mature nk t cell,0.6536633372306824,CL:0000814,NK T cell,NK T cell NK T cell A mature alpha-beta T cell of a distinct lineage that bears natural killer markers and a T cell receptor specific for a limited set of ligands. NK T cells have activation and regulatory roles particularly early in an immune response.,0.543326735496521,CL:0000938,NK CD56bright,"NK CD56bright NK CD56bright NK cell that has the phenotype CD56-bright, CD16-negative, and CD84-positive with the function to secrete interferon-gamma but is not cytotoxic."
PopV,"CD4-positive, alpha-beta T cell",cd4positive alphabeta t cell,0.8020555377006531,CL:0000905,CD4+ T cell effector memory,"CD4+ T cell effector memory CD4+ T cell effector memory CD4-positive, alpha-beta memory T cell with the phenotype CCR7-negative, CD127-positive, CD45RA-negative, CD45RO-positive, and CD25-negative.",0.7972176671028137,CL:0000895,CD4+ T cell naive,"CD4+ T cell naive CD4+ T cell naive An antigen inexperienced CD4-positive, alpha-beta T cell with the phenotype CCR7-positive, CD127-positive and CD62L-positive. This cell type develops in the thymus. This cell type is also described as being CD25-negative, CD62L-high, and CD44-low."
PopV,basophil,basophil,0.3530886769294739,CL:0000094,neutrophil,neutrophil neutrophil A leukocyte with abundant granules in the cytoplasm.,0.30512019991874695,ASCTB CT_ID UNK,suprabasal cell,suprabasal cell
PopV,capillary endothelial cell,capillary endothelial cell,0.7084331512451172,CL:1000413,arterial endothelial cell,arterial endothelial cell arterial endothelial cell A blood vessel endothelial cell that is part of an arterial endothelium.,0.7019892334938049,CL:4028002,CAP1 general capillary aCap,CAP1 general capillary aCap capillary endothelial cell 1 An alveolar capillary endothelial cell that is located distally to alveolar capillary type 2 endothelial cells.
PopV,endothelial cell of artery,endothelial cell of artery,0.8548914194107056,CL:1000413,arterial endothelial cell,arterial endothelial cell arterial endothelial cell A blood vessel endothelial cell that is part of an arterial endothelium.,0.7713105082511902,CL:1001568,pulmonary artery endothelial cell,pulmonary artery endothelial cell pulmonary artery endothelial cell NaN
PopV,lung microvascular endothelial cell,lung microvascular endothelial cell,0.8654752969741821,CL:1001568,pulmonary artery endothelial cell,pulmonary artery endothelial cell pulmonary artery endothelial cell NaN,0.7208541035652161,CL:1000271,lung ciliated cell,lung ciliated cell lung ciliated cell NaN
PopV,vein endothelial cell,vein endothelial cell,0.8164156675338745,CL:0002543,venous endothelial cell,venous endothelial cell vein endothelial cell An endothelial cell that is part of the vein.,0.79550701379776,CL:0002543,pulmonary venous endothelial cell,pulmonary venous endothelial cell vein endothelial cell An endothelial cell that is part of the vein.
